{0} is mandatory,{0} é obrigatório
Allow in Quick Entry,Permitir na entrada rápida
Allow Login using User Name,Permitir Login usando o nome de usuário
Allow Modules,Permitir Módulos
Allow only one session per user,Permitir apenas uma sessão por usuário
Allow on Submit,Permitir ao Enviar
Allow Print for Cancelled,Permitir impressão para cancelado
Allow Read On All Link Options,Permitir leitura em todas as opções de link
Allow Rename,Permitir Renomear
Allow Roles,Permitir Funções
Allow saving if mandatory fields are not filled,Permitir salvar se os campos obrigatórios não são preenchidas
Allow Self Approval,Permitir auto-aprovação
All Synchronized,Tudo Sincronizado
"Always add ""Draft"" Heading for printing draft documents","Sempre adicionar ""Rascunho"" no cabeçalho para impressão de documentos não enviados"
Amend,Corrigir
Amount,Valor
Analytics,Análise
and,e
Annual,Anual
API Access,Acesso API
API Key,Chave da API
API Method,Método API
API Secret,Segredo da API
App,Aplicativo
Append To,Acrescente Para
App information,Informações do aplicativo
Application Logo,Logo do aplicativo
Application Name,Nome da Aplicação
Application Version,Versão do aplicativo
Applied,Aplicado
Applied On,Aplicado em
Apply,Aplicar
Apply Offer,Aplicar Oferta
Apply Offers,Aplicar Ofertas
Apply On,Aplicar Em
Apply Strict User Permissions,Aplicar permissões de usuário estrito
Apply this rule if the User is the Owner,Aplicar esta regra se o usuário é o proprietário
Appointment,Agendamento
Appointment Letter,Carta de Nomeação
Appointment Letter Template,Modelo de Carta de Nomeação
Apps,Aplicativos
Are you sure you want to close? All entered data will be lost.,Tem certeza de que deseja fechar? Todos os dados inseridos serão perdidos.
Asset Activity,Atividade do Ativo
Asset Capitalization,Capitalização de Ativo
Assign Condition,Atribuir condição
Assigned,Atribuído
Assigned By Full Name,Atribuído por Nome completo
Assigned To,Atribuído A
Assignment Completed,Atribuição Concluída
Assignment Days,Dias de atribuição
Assignment Rules,Regras de Atribuição
Assign To Users,Atribuir aos usuários
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por exemplo: MT
Attached File,Arquivo anexo
Attached To Field,Relacionado ao campo
Attached To Name,Anexado Para Nome
Attach Image,Anexar Imagem
Attachment,Anexo
Attachment Limit (MB),Limite de Anexo (MB)
Attachment Link,Link de Anexo
Attachment Removed,Anexo Removido
Attachments,Anexos
Attach Print,Anexar cópia
Attendance,Assiduidade
Attendance Count,Contagem de Assiduidade
Attendance Request,Pedido de Assiduidade
Author,Autor
Authorization Code,Código de autorização
Authorize API Indexing  Access,Autorizar acesso de indexação de API
Authorized,Autorizado
Authorize Google Calendar Access,Autorizar acesso ao Google Agenda
Authorize Google Contacts Access,Autorizar o acesso dos Contatos do Google
Authorize URL,Autorizar URL
Auth URL Data,Dados de URL de autenticação
Auto Name,Nome Automático
Auto Reply Message,Resposta Automática
Available:,Disponível:
Available QTY,Quantidade Disponível
Awaiting password,Aguardando Senha
Awaiting Password,Aguardando Senha
Awesome,Incrível
Back,Voltar
Background Color,Cor de Fundo
Background Workers,Trabalhadores em Segundo Plano
Back to Login,Voltar ao início de sessão
Balance will be updated when connection is restored,O saldo será atualizado quando a conexão for restaurada
Banner,Faixa
Banner HTML,Faixa HTML
Barcode,Código de Barras
Base Distinguished Name (DN),Base de dados de nome distinto (DN)
Based On,Baseado Em
Based on Field,Com base no campo
Based on Permissions For User,Com base em permissões para o usuário
Base URL,URL Base
Basic,Básico
Basic Information,Informações Básicas
Batch,Lote
Batch Information,Informações do Lote
BCC,CCO
Before Cancel,Antes de Cancelar
Before Delete,Antes de excluir
Before Insert,Antes da inserção
Before Save,Antes de salvar
Before Save (Submitted Document),Antes de salvar (documento enviado)
Before Submit,Antes de enviar
Benefits,Benefícios
Billing,Faturamento
Birth Date,Data de nascimento
Blocked,Bloqueado
Block Modules,Bloquear Módulos
blue,azul
Blue,Azul
Bold,Negrito
Both login and password required,É obrigatório indicar o utilizador e a palavra-passe
Bottom,Inferior
Brand,Marca
Brand HTML,Marca HTML
Brand Image,Imagem da Marca
Breakdown,Detalhamento
Browser Version,Versão do navegador
Brute Force Security,Segurança da força bruta
Build Time:,Tempo de Compilação:
Built with Frappe,Desenvolvido com Frappe
Bulk Salary Structure Assignment,Atribuição em Massa de Estruturas Salariais
Bundle,Pacote
Button,Botão
Button Gradients,Gradientes de botão
Button Rounded Corners,Botão Cantos Arredondados
Button Shadows,Sombras de botão
Bypass restricted IP Address check If Two Factor Auth Enabled,Ignorar verificação de endereço IP restrito se dois fatores de autenticação habilitados
Bypass Restricted IP Address Check If Two Factor Auth Enabled,"Ignorar endereço IP restrito, verificar se a autenticação de dois fatores estiver habilitada"
Cache cleared successfully,Cache limpo com sucesso
Cache Usage,Uso de Cache
cache used,cache utilizado
Calculating...,Calculando...
Calendar Name,Nome do calendário
Callback Message,Mensagem de retorno
Callback Title,Título de retorno
Call To Action,Apelo à ação
Call To Action URL,URL de apelo à ação
Camera Access Required,Acesso à Câmara Necessário
Camera access was aborted. Please try again.,O acesso à câmara foi abortado. Por favor tente novamente.
Campaign,Campanha
Campaign Efficiency,Eficiência da Campanha
Cancel,Cancelar
Cancelled,Cancelado
Cancel Payment,Cancelar Pagamento
Cancel Sale,Cancelar Venda
Cancel Sale ?,Cancelar Venda?
Cannot change language - same language selected,Não é possível alterar o idioma - mesmo idioma selecionado
Cannot clear cache while offline,Não é possível limpar cache offline
Card,Cartão
Cards,Postais
Category Description,Descrição da Categoria
Category Name,Nome da Categoria
CC,Cc
Center,Centro
Change interface language,Alterar idioma da interface
Change Label (via Custom Translation),Alterar etiqueta (via tradução personalizada)
Change Language,Alterar Idioma
Change Password,Alterar Senha
Change Price,Alterar Preço
Channel,Canal
Chart,Gráfico
Chart Configuration,Configuração de Gráfico
Chart Name,Nome do gráfico
Chart Options,Opções de gráfico
Charts,Gráficos
Chart Source,Fonte do gráfico
Check,Verifica
Check cache and performance,Verificar cache e desempenho
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Marque esta opção se você deseja forçar o usuário a selecionar uma série antes de salvar. Não haverá nenhum padrão se você marcar isso.
Choose authentication method to be used by all users,Escolha o método de autenticação a ser usado por todos os usuários
Choose your preferred language for the POS interface,Escolha seu idioma preferido para a interface POS
City,Cidade
City/Town,Cidade/Município
Clear,Limpar
Clear Cache,Limpar Cache
Clearing local cache...,Limpando cache local...
Clicked,Clicado
Click on the button to log in to {0},Clique no botão para iniciar sessão no {0}
Click to refresh,Clique para atualizar
Client,Cliente
Client Code,Código do cliente
Client CPU Lag:,Atraso do CPU do Cliente:
Client Credentials,Credenciais no cliente
Client ID,ID do Cliente
Client Information,Informação ao cliente
Client Memory Usage:,Uso de Memória do Cliente:
Client Metrics,Métricas do Cliente
Client Secret,Segredo do cliente
Close,Fechar
Close Condition,Fechar Condição
Closed,Fechado
Close Dialog,Fechar Diálogo
Close Shift,Fechar Turno
Closing Amount,Valor de Fecho
Closing POS Shift,Fechamento do Turno POS
Code,Código
Code scanned successfully,Código escaneado com sucesso
Collapse All,Recolher Todos
Collapsible,Desmontável
Collapsible Depends On,Depende dobrável
Column Break,Quebra de coluna
Columns,Colunas
Columns / Fields,Colunas / Campos
Comment By,Comentário por
Comments,Comentários
Comments and Communications will be associated with this linked document,Comentários e comunicações serão associados com este documento relacionado
Commit,Comprometer
Communication,Comunicação
Company,Empresa
Company Introduction,Introdução da Empresa
Company Name,Nome da Empresa
Compensatory Leave Request,Pedido de Licença Compensatória
Complete,Concluído
Completed,Concluído
Confirm Close,Confirmar Fecho
Confirm Mobile Number,Confirmar Número de Telemóvel
Connections:,Conexões:
Contact,Contacto
Contact Details,Detalhes do Contato
Contact Numbers,Números de contato
Contacts,Contatos
Context,Contexto
Continue,Continuar
Continue Editing,Continuar Editando
Contract,Contrato
Contributed,Contribuído
Contribution Document Name,Nome do documento de contribuição
Copyright,Direitos autorais
Could not fetch latest balance from server,Não foi possível obter o saldo mais recente do servidor
Counter,Contador
Country,País
Country Name,Nome do País
County,Distrito
Coupon,Cupão
Coupons,Cupões
CPU Cores:,Núcleos do CPU:
CPU Load,Carga do CPU
Create,Criar
Create Customer,Criar Cliente
Create Entry,Criar entrada
Create POS Opening Shift,Criar Abertura de Turno POS
Credit Note,Nota de Crédito
CRM Settings,Configurações de CRM
Cron Format,Formato Cron
CSS Class,Classe CSS
Currency,Moeda
Currency Name,Nome da Moeda
Currency Precision,Precisão de moeda
Current Event Loop Lag:,Atraso Atual do Event Loop:
Current User,Utilizador Atual
Custom Configuration,Configuração Personalizada
Custom CSS,CSS Personalizado
Custom Due Days,Dias de Vencimento Personalizados
Customer,Cliente
Customer already selected,Cliente já selecionado
Customer Balance,Saldo do Cliente
Customer balance unavailable offline,Saldo do cliente indisponível offline
Customer created successfully.,Cliente criado com sucesso.
Customer creation failed.,Falha ao criar cliente.
Customer Group,Grupo de Clientes
Customer group is required,Grupo de cliente é obrigatório
Customer Ledger Summary,Resumo do Razão de Clientes
Customer Name is required,Nome do Cliente é obrigatório
Customer saved offline,Cliente guardado offline
Customer territory is required,Território do cliente é obrigatório
Customer updated successfully.,Cliente atualizado com sucesso.
Custom Format,Formato Personalizado
Custom HTML Help,Ajuda HTML Personalizado
Custom Options,Opções Personalizadas
Custom Overrides,Substituições personalizadas
Custom Report,Relatório Personalizado
Custom SCSS,SCSS personalizado
Daily,Diário
Daily Long,Diário Longo
Daily Work Summary,Resumo Diário de Trabalho
Daily Work Summary Group,Grupo de Resumos Diários de Trabalho
Daily Work Summary Replies,Respostas de Resumos Diários de Trabalho
Danger,Perigo
Dark Color,Cor Escura
Dark Mode,Modo Escuro
Database Health,Saúde da Base de Dados
Database health affects overall system speed and reliability.,A saúde da base de dados afeta a velocidade e confiabilidade geral do sistema.
Database Info,Informações da Base de Dados
Data,Dados
Date,Data
Date and Number Format,Data e Formato de número
Date Format,Formato de Data
Datetime,Data e Hora
Day of Week,Dia da Semana
Days After,Dias Após
Days Before,Dias Antes
Days Before or After,Dias Antes ou Após
dd/mm/yyyy,dd/mm/aaaa
Dear,Caro
"Dear System Manager,","Caro Administrador de Sistema,"
Debit Note,Nota de Débito
Default,Padrão
"Default: ""Contact Us""","Padrão: ""Fale Conosco"""
Default Letter Head,Papel Timbrado Padrão
Default Portal Home,Página inicial do portal padrão
Default Print Format,Formato de impressão padrão
Default Print Language,Idioma de impressão padrão
Default Redirect URI,Padrão de redirecionamento URI
Default Role at Time of Signup,Função padrão no momento da inscrição
Defaults,Padrões
Default Sort Field,Campo de classificação padrão
Default Sort Order,Ordem de classificação padrão
Default Value,Valor padrão
Delayed Tasks Summary,Resumo de Tarefas Atrasadas
Delete,Excluir
Deleted Name,Nome Excluído
Delete Invoice,Eliminar Fatura
Delivery Information,Informações de Entrega
Delivery Note,Guia de Remessa
Department,Departamento
Department Wise Openings,Vagas por Departamento
Depends On,Depende de
Description,Descrição
Designation,Designação
Desk Access,Acesso ao Ambiente de Trabalho
Detecting formats:,Detectando formatos:
Device Memory:,Memória do Dispositivo:
Difference,Diferença
Difference:,Diferença:
Digits,Dígitos
Disable Auto Refresh,Desativar atualização automática
Disable Count,Desativar Contagem
Disabled,Desativado
Disable offline mode,Desativar modo offline
Disable Sidebar Stats,Desativar Estatísticas da Barra Lateral
Disable SMTP server authentication,Desativar autenticação do servidor SMTP
Discount %,% Desconto
Discount Amount,Valor de Desconto
Display Depends On,Visualização depende
Document,Documento
Document Actions,Ações do Documento
Documentation Link,Link da documentação
Documentation URL,URL de documentação
Document Link,Link do Documento
Document Links,Links de documentos
Document Name,Nome do Documento
Document Share,Partilha de Documentos
Document States,Documento Unidos
Document Tag,Etiqueta de Documento
Document Title,Título do documento
Domains HTML,Domínios HTML
Done,Feito
Don't have an account?,Não tem uma conta?
Donut,Rosquinha
Download,Baixar
Download Template,Baixar Modelo
Draft,Rascunho
Due Date,Data de Vencimento
Due Date Based On,Data de vencimento baseada em
Dunning,Cobrança de Inadimplentes
Duplicate,Duplicar
Duration,Duração
Duties,Direitos
Duties and Taxes,Direitos e Impostos
Dynamic Filters,Filtros Dinâmicos
Dynamic Filters JSON,Filtros dinâmicos JSON
Dynamic Filters Section,Seção de Filtros Dinâmicos
Dynamic Report Filters,Filtros dinâmicos de relatórios
Dynamic Route,Rota Dinâmica
Dynamic Template,Modelo dinâmico
Edit,Editar
Edited,Editado
e.g. pop.gmail.com / imap.gmail.com,ex: pop.gmail.com / imap.gmail.com
e.g. smtp.gmail.com,ex: smtp.gmail.com
Email,E-mail
Email Address,Endereço de e-mail
Email Address (Will be your login ID),Endereço de Email (será o seu ID de acesso)About,Sobre
Email Campaign,Campanha de Email
Email Group,Grupo de Emails
Email Inbox,Caixa de Entrada
Email Sent At,E-mail enviado em
Employee,Funcionário
Employee Advance Summary,Resumo de Adiantamentos de Trabalhador
Employee Attendance Tool,Ferramenta de Assiduidade do Trabalhador
Employee Benefit Application,Candidatura a Benefício do Trabalhador
Employee Benefit Claim,Requisição de Benefício do Trabalhador
Employee Checkin,Registo de Entrada do Trabalhador
Employee Exits,Saídas de Trabalhadores
Employee Grievance,Reclamação de Trabalhador
Employee Hours Utilization Based On Timesheet,Utilização de Horas do Trabalhador com Base no Timesheet
Employee Incentive,Incentivo do Trabalhador
Employee Onboarding,Integração de Trabalhador
Employee Onboarding Template,Modelo de Integração de Trabalhador
Employee Referral,Recomendação de Trabalhador
Employee Separation,Desligamento de Trabalhador
Employee Skill Map,Mapa de Competências do Trabalhador
Employees working on a holiday,Trabalhadores a Trabalhar em Feriado
Employee Tax Exemption Category,Categoria de Isenção Fiscal do Trabalhador
Employee Tax Exemption Declaration,Declaração de Isenção Fiscal do Trabalhador
Employee Tax Exemption Proof Submission,Submissão de Comprovativo de Isenção Fiscal do Trabalhador
Employee Tax Exemption Sub Category,Subcategoria de Isenção Fiscal do Trabalhador
Enable,Permitir
Enable Automatic Linking in Documents,Ativar Vinculação Automática em Documentos
Enable Auto Reply,Ativar resposta automática
Enable Comments,Ativação de comentários
Enable Password Policy,Ativar política de senha
Enable Print Server,Ativar servidor de impressão
Enable Raw Printing,Ativar impressão bruta
Enable Scheduled Jobs,Ativar Tarefas Agendadas
Enable Security,Ativar segurança
Enable Social Login,Ativar Login Social
End current session,Finalizar sessão atual
End Date,Data Final
End Date Field,Campo de data final
Ends on,Termina em
Energy Point,Ponto de energia
Enter Code displayed in OTP App.,Introduza o código mostrado na App OTP.
Enter Value,Digite o Valor
Error,Erro
Error accessing camera:,Erro ao aceder à câmara:
Error adding offer to items,Erro ao adicionar oferta aos artigos
Error deleting offer from items,Erro ao eliminar oferta dos artigos
Error fetching customer balance,Erro ao obter saldo do cliente
Error loading currencies,Erro ao carregar moedas
Error Loading Data,Erro ao Carregar Dados
Error processing payment,Erro ao processar pagamento
Error removing price offer,Erro ao remover oferta de preço
Error searching invoices,Erro ao procurar faturas
Error submitting invoice: ,Erro ao submeter fatura: 
Error submitting invoice: No response from server,Erro ao submeter fatura: Sem resposta do servidor
Error toggling item details,Erro ao alternar detalhes do artigo
Error updating item details,Erro ao atualizar detalhes do artigo
Event Category,Categoria do Evento
Event-loop lag measures how busy your browser is. Lower is better.,O atraso do event-loop mede o quão ocupado está o seu navegador. Menor é melhor.
Example,Exemplo
Example: 00001,Exemplo: 00001
Example: #Tree/Account,Exemplo: # árvore / conta
Exception,Exceção
Exemption,Isenção
Exits (This Month),Desligamentos (Este Mês)
Expand All,Expandir Todos
Expected Amount,Valor Esperado
Expense Claim Type,Tipo de Reembolso de Despesa
Expert,Especialista
Expiration time,Data de validade
Expired,Expirado
Expires In,Expira em
Expires On,Expira Em
Expiry time of QR Code Image Page,Tempo de expiração da página de imagem de código QR
Export From,Exportar de
Expose Recipients,Mostrar Destinatários
"Expression, Optional","Expressão, Opcional"
Failed,Falhou
Failed to apply offers,Falha ao aplicar ofertas
Failed to change language,Falha ao alterar o idioma
Failed to clear cache,Falha ao limpar cache
Failed to load items. Please try again.,Falha ao carregar artigos. Por favor tente novamente.
Failed to reload invoice from server,Falha ao recarregar fatura do servidor
Feedback,Comentários
Female,Feminino
Fetch From,Buscar de
Fetch Items Directly from Server,Buscar Artigos Diretamente do Servidor
Field Description,Descrição do Campo
Field to Track,Campo para rastrear
File Information,Informações do arquivo
File Name,Nome do arquivo
File Size,Tamanho do arquivo
File URL,URL do arquivo
Filter Data,Filtrar dados
Filter Meta,Filtrar Meta
Filters,Filtros
Filters Configuration,Configuração de Filtros
Filters Display,Exibição dos Filtros
Filters JSON,Filtros JSON
Filters Section,Seção de Filtros
Filter Values,Valores de filtro
Financial Reports,Relatórios Financeiros
Financial Year Begins On,Início do Ano Fiscal
Finished,Acabado
First Response Time for Opportunity,Tempo da Primeira Resposta para Oportunidade
First Success Message,Primeira mensagem de sucesso
Fixing payment amounts for return invoice...,Corrigindo valores de pagamento para fatura de devolução...
Flag,Bandeira
Flash Off,Flash Desligado
Float Precision,Precisão de Casas Decimais
Fold,Dobrar
Folder,Pasta
Font Properties,Propriedades da fonte
Fonts,Fontes
Font Size,Tamanho da Fonte
Footer,Rodapé
Footer HTML,HTML de rodapé
Footer Items,Itens do Rodapé
Footer Logo,Logotipo do rodapé
Footer Template,Modelo de rodapé
Footer Template Values,Valores de modelo de rodapé
Footer will display correctly only in PDF,Rodapé será exibido corretamente somente em PDF
Force,Força
Force Show,Forçar Exibição
Force User to Reset Password,Forçar usuário a redefinir a senha
For example: {} Open,Por exemplo: {} Abra
Forgot Password,Esqueceu a palavra-passe
Forgot Password?,Esqueceu a palavra-passe?
Format Data,Formato de dados
"For more information, <a class=""text-muted"" href=""https://docs.frappe.io/erpnext/user/manual/en/linking-emails-to-document"">click here</a>.","Para mais informações, <a class=""text-muted"" href=""https://docs.frappe.io/erpnext/user/manual/en/linking-emails-to-document"">clique aqui</a>."
Form Settings,Configurações de formulário
Form URL-Encoded,Codificado em URL do formulário
For Value,Por valor
Fraction,Fração
Fraction Units,Unidades Fracionadas
From,De
From Date,Data De
From Date Field,Do campo de data
From Full Name,De nome completo
Full,Cheio
Full Name,Nome Completo
Full Width,Largura completa
General Ledger,Razão Geral
Generate Keys,Gerar Chaves
Geolocation,Geolocalização
Get Contacts,Obter contatos
Get Items,Obter Itens
Get Payments,Obter Pagamentos
Get your globally recognized avatar from Gravatar.com,Obtenha seu avatar globalmente reconhecido de Gravatar.com
Global Unsubscribe,Cancelar Inscrição Global
GMail,Gmail
Go Offline,Desconectar
Google Analytics ID,ID do Google Analytics
Google Calendar Event ID,ID do evento do Google Agenda
Google Calendar ID,ID da Agenda do Google
Go Online,Conectar
Go to Page,Vá para página
green,verde
Green,Verde
Grievance,Reclamação
Grievance Type,Tipo de Reclamação
Group,Grupo
Group By,Agrupar Por
Group By Based On,Agrupar por Com base em
Group By Type,Agrupar por tipo
Group Node,Grupo de Nós
Half,Metade
Header,Cabeçalho
Header HTML,HTML de cabeçalho
Headers,Cabeçalhos
Heatmap,Mapa de calor
"Hello,","Olá,"
Help,Ajuda
Help Articles,Artigos de Ajuda
Help HTML,Ajuda HTML
HH:mm,HH: mm
Hide,Ocultar
Hide Block,Esconder o Bloco
Hide Border,Ocultar borda
Hide Copy,Ocultar Cópia
Hide Days,Ocultar dias
Hide Seconds,Ocultar segundos
High,Alto
Higher priority rule will be applied first,Regra de prioridade mais alta será aplicada primeiro
Highlight,Realçar
Home,Início
Home Page,Pagina inicial
Home Settings,Configurações iniciais
Hourly,De hora em hora
Hourly Long,Por hora
Hourly rate limit for generating password reset links,Limite de taxa por hora para gerar links de redefinição de senha
Hours,Horas
"How should this currency be formatted? If not set, will use system defaults","Como essa moeda deve ser formatada? Se não for definido, serão usados os padrões do sistema"
HTML Editor,Editor de HTML
HTML for header section. Optional,HTML para a seção de cabeçalho. opcional
HTML Page,Página HTML
icon,ícone
Icon will appear on the button,O ícone aparecerá no botão
Identity Details,Detalhes da identidade
"If checked, all other workflows become inactive.","Se marcada, todos os outros fluxos de trabalho tornam-se inativos."
"If disabled, this role will be removed from all users.",Se esta função for desativada será removida em todos os usuários.
"If enabled, changes to the document are tracked and shown in timeline","Se ativado, as alterações no documento são rastreadas e mostradas na linha do tempo"
If non standard port (e.g. 587),"Se não for a porta padrão (por exemplo, 587)"
"If not set, the currency precision will depend on number format","Se não for definido, a precisão da moeda dependerá do formato de número"
If user is the owner,Se o usuário é o proprietário
Ignore attachments over this size,Ignorar anexos maiores que este tamanho
Ignored Apps,Aplicativos ignorados
Ignore XSS Filter,Ignorar Filtro XSS
Image,Imagem
Image Field,Campo de Imagem
Image Link,Link da Imagem
Implicit,Implícito
Import,Importar
Import File,Importar arquivo
Import File Errors and Warnings,Erros e avisos de importação de arquivos
Import from Google Sheets,Importar do Planilhas Google
Import Log Preview,Visualização do registro de importação
Import Preview,Visualização de importação
Import Warnings,Avisos de importação
Inactive Customers,Clientes Inativos
Include Search in Top Bar,Incluem a busca no Top Bar
Income Tax Computation,Cálculo do Imposto sobre o Rendimento (IRPS)
Income Tax Deductions,Deduções do Imposto sobre o Rendimento (IRPS)
Income Tax Slab,Tabela de IRPS
Incoming,Entrada
In Days,Em dias
IndexedDB,IndexedDB
Indicator,Indicador
In Filter,No Filtro da Lista
Info,Informações
In Global Search,Na Busca Global
Initialize your shift with opening balances,Inicialize o seu turno com saldos de abertura
Initial Sync Count,Contagem de sincronização inicial
In points. Default is 9.,Em pontos. O padrão é 9.
In Preview,Na pré-visualização
In Progress,Em Progresso
In Reply To,Em resposta a
In seconds,Em segundos
Insert New Records,Inserir novos registros
Insert Style,Inserir Estilo
Installed Applications,Aplicativos Instalados
In Standard Filter,Em Filtro Padrão
Instructions Emailed,Instruções enviadas por e‑mail
Int,Inteiro
Interview,Entrevista
Interview Feedback,Feedback da Entrevista
Interview Round,Ronda de Entrevista
Interviews,Entrevistas
Interviews (This Week),Entrevistas (Esta Semana)
Interview Type,Tipo de Entrevista
Introduce your company to the website visitor.,Apresente sua empresa para o visitante do site.
Introductory information for the Contact Us Page,Informação introdutória para a página Fale Conosco
Invalid closing amount,Valor de fecho inválido
Invalid Credentials,Credenciais Inválidas
Invalid Login. Try again.,Início de sessão inválido. Tente novamente.
Invalid URL,URL inválida
Inverse,Inverso
Invoice,Fatura
Invoices,Faturas
Invoice saved offline,Fatura guardada offline
Invoices saved as POS Invoices,Faturas guardadas como Faturas POS
IP Address,Endereço de IP
Is Active,É Ativo
Is Attachments Folder,É Pasta de Anexos
Is Complete,Está completo
Is Completed,Está completo
Is Custom Field,É campo personalizado
Is Folder,É Pasta
Is Mandatory Field,É campo obrigatório
Is Optional State,É estado opcional
Is Primary,É primário
Is Primary Contact,É o contato principal
Is Primary Mobile,É o Telemóvel principal
Is Primary Phone,É o telefone principal
Is Private,É privada
Is Public,É público
Is Published Field,É Publicado campo
Is Return,É Devolução
Is Skipped,É pulado
Is Standard,É Padrão
Is Table,É Tabela
Is Tree,É árvore
Is Unique,É único
Item,Artigo
Item Category,Categoria de Artigos
Item Code,Código do Artigo
Item Group,Grupo de Artigos
Item Name,Nome do Artigo
Item not found,Artigo não encontrado
Item order updated,Ordem do artigo atualizada
Item Price,Preço do Artigo
Item Price List,Lista de Preços de Artigos
Item price updated,Preço do artigo atualizado
Items,Artigos
Items added to invoice,Artigos adicionados à fatura
Item Selector Settings,Configurações do Seletor de Artigos
Item Tax Template,Modelo de Imposto do Artigo
Javascript is disabled on your browser,O JavaScript está desativado no seu navegador
Job Applicant,Candidato a Emprego
Job Offer,Oferta de Emprego
Job Opening,Vaga de Emprego
Job Position,Cargo
Job Requisition,Requisição de Emprego
Jobs,Empregos
JSON Request Body,Corpo da solicitação JSON
Kanban Board,Painel Kanban
Key,Chave
Label and Type,Etiqueta e Tipo
Label Help,Ajuda sobre Etiquetas
Landing Page,Página de chegada
Language,Idioma
Language changed successfully! Reloading...,Idioma alterado com sucesso! Recarregando...
Language Code,Código do Idioma
Language Name,Nome do Idioma
Language will be changed to,O idioma será alterado para
Last Active,Ativo pela última vez
Last Execution,Última Execução
Last IP,Último IP
Last Known Versions,Últimas versões conhecidas
Last Login,Último Login
Last Month,Mês passado
Last Password Reset Date,Data da última redefinição de senha
Last Quarter,Ultimo quarto
Last Synced On,Última sincronização em
Last Sync On,Última sincronização em
Last User,Último usuário
Last Week,Semana passada
Last Year,Ano passado
Later,Mais Tarde
LDAP First Name Field,Campo Primeiro Nome do LDAP
LDAP Group,Grupo LDAP
LDAP Group Field,Campo do Grupo LDAP
LDAP Group Mappings,Mapeamentos de grupo LDAP
LDAP Last Name Field,Campo Sobrenome LDAP
LDAP Middle Name Field,Campo de nome do meio LDAP
LDAP Mobile Field,Campo Móvel LDAP
LDAP Phone Field,Campo de telefone LDAP
LDAP Search String,Palavra de Busca do LDAP
LDAP Security,Segurança LDAP
LDAP User Creation and Mapping,Criação e Mapeamento de Usuários LDAP
LDAP Username Field,Campo Nome de Usuário do LDAP
Lead,Lead
Lead Details,Detalhes da Lead
Lead Owner Efficiency,Eficiência do Responsável pela Lead
Lead Source,Origem da Lead
Leave Allocation,Atribuição de Licença
Leave Application,Pedido de Licença
Leave blank to repeat always,Deixe em branco para repetir sempre
Leave Control Panel,Painel de Controlo de Licenças
Leave Encashment,Conversão de Licença em Dinheiro
Leave Period,Período de Licença
Leave Policy,Política de Licenças
Leave Policy Assignment,Atribuição de Política de Licenças
Leaves,Licenças / Férias
Leave Type,Tipo de Licença
Ledger,Livro Razão
Let's set up your account,Vamos preparar a sua conta
Letter,Carta
Letter Head,Papel Timbrado
Letter Head Based On,Papel Timbrado Baseado em
Letter Head Image,Imagem do Papel Timbrado
Letter Head in HTML,Papel Timbrado em HTML
Letter Head Name,Nome do Papel Timbrado
